period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,26023.058,21373.0,21373.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,24846.641,20467.0,20467.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1176.417,906.0,906.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,26023.058,21373.0,21373.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,24846.641,20467.0,20467.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1176.417,906.0,906.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,26023.058,21373.0,21373.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,24846.641,20467.0,20467.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1176.417,906.0,906.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,26023.058,21373.0,21373.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,24846.641,20467.0,20467.0,kg
2022,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1176.417,906.0,906.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64192.812,60512.0,60512.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,63179.919,59538.0,59538.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1012.894,974.0,974.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64192.812,60512.0,60512.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,63179.919,59538.0,59538.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1012.894,974.0,974.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64192.812,60512.0,60512.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,63179.919,59538.0,59538.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1012.894,974.0,974.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64192.812,60512.0,60512.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,63179.919,59538.0,59538.0,kg
2023,276,Germany,246,Finland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1012.894,974.0,974.0,kg
