period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,848020.692,1322946.0,1322946.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,90623.267,129585.0,129585.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,757388.954,1193329.0,1193329.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,8.471,32.0,32.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,848020.692,1322946.0,1322946.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,90623.267,129585.0,129585.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,757388.954,1193329.0,1193329.0,kg
2022,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,8.471,32.0,32.0,kg
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,1098213.244,,0.0,N/A
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,1098187.077,,0.0,N/A
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,26.167,90.0,90.0,kg
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,6246.359,,0.0,N/A
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,6225.643,,0.0,N/A
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,20.716,73.0,73.0,kg
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,5.452,17.0,17.0,kg
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,5.452,17.0,17.0,kg
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,1091961.434,1007844.0,1007844.0,kg
2023,251,France,40,Austria,100590,"Cereals; maize (corn), other than seed",X,Export,1091961.434,1007844.0,1007844.0,kg
