period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,12683712.278,21807148.0,21807148.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,2237.415,3450.0,3450.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,12681071.429,21803194.0,21803194.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,403.434,504.0,504.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,391974.432,474682.0,474682.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,391974.432,474682.0,474682.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,370.608,617.0,617.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,370.608,617.0,617.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,117.536,202.0,202.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,117.536,202.0,202.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,189461.333,301572.0,301572.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,189461.333,301572.0,301572.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,60685.526,36187.0,36187.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,60685.526,36187.0,36187.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,991.113,1702.0,1702.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,991.113,1702.0,1702.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,1669.855,1501.0,1501.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,1669.855,1501.0,1501.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,121802.017,67485.0,67485.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,121802.017,67485.0,67485.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,8.471,11.0,11.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,8.471,11.0,11.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,205.423,317.0,317.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,205.423,317.0,317.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,639.564,1098.0,1098.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,639.564,1098.0,1098.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,11915786.4,20921774.0,20921774.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,2237.415,3450.0,3450.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,11913145.551,20917820.0,20917820.0,kg
2022,251,France,56,Belgium,110100,Wheat or meslin flour,X,Export,403.434,504.0,504.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4097213.829,6425142.0,6425142.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4096773.335,6425015.0,6425015.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,440.494,127.0,127.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1207.124,408.0,408.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1207.124,408.0,408.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,15922.393,10567.0,10567.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,15772.032,10536.0,10536.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,150.361,31.0,31.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,21.178,25.0,25.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,21.178,25.0,25.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,588.738,148.0,148.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,588.738,148.0,148.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,44.473,25.0,25.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,44.473,25.0,25.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27.531,10.0,10.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27.531,10.0,10.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,13926.402,9869.0,9869.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,13926.402,9869.0,9869.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,18498.65,5819.0,5819.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,18498.65,5819.0,5819.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,733.804,508.0,508.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,664.977,458.0,458.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,68.827,50.0,50.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5136.631,2678.0,2678.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5136.631,2678.0,2678.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1493.022,234.0,234.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1493.022,234.0,234.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,11902.881,1749.0,1749.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,11902.881,1749.0,1749.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,128.125,38.0,38.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,128.125,38.0,38.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,177.892,30.0,30.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,177.892,30.0,30.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,482.85,65.0,65.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,482.85,65.0,65.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27.531,9.0,9.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27.531,9.0,9.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1095.942,203.0,203.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1095.942,203.0,203.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,36.002,8.0,8.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,36.002,8.0,8.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6285.517,2136.0,2136.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6285.517,2136.0,2136.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,248.837,42.0,42.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,248.837,42.0,42.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2683.204,1672.0,1672.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2683.204,1672.0,1672.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,841.81,425.0,425.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,841.81,425.0,425.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4015703.291,6388474.0,6388474.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4015481.985,6388428.0,6388428.0,kg
2022,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,221.306,46.0,46.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5564164.646,5594391.0,5594391.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,21.806,6.0,6.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5563605.32,5594247.0,5594247.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,537.52,138.0,138.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,518.985,109.0,109.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,518.985,109.0,109.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,314325.194,312900.0,312900.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,313970.845,312829.0,312829.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,354.349,71.0,71.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,143.92,150.0,150.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,143.92,150.0,150.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,468.831,108.0,108.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,468.831,108.0,108.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,67.599,24.0,24.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,67.599,24.0,24.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9672.098,7028.0,7028.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9672.098,7028.0,7028.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,11878.876,3195.0,3195.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,11878.876,3195.0,3195.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,366.343,167.0,167.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,290.021,124.0,124.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,76.321,43.0,43.0,kg
2023,251,France,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,23.987,25.0,25.0,kg
