period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,4517365.837,6133616.0,6133616.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,135.198,152.0,152.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,354.349,295.0,295.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,4516876.29,6133169.0,6133169.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,7265.794,10751.0,10751.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,7265.794,10751.0,10751.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,57526.686,99567.0,99567.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,57526.686,99567.0,99567.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,253038.045,398262.0,398262.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,253038.045,398262.0,398262.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,1950.556,2916.0,2916.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,1950.556,2916.0,2916.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,15.264,21.0,21.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,15.264,21.0,21.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,208.248,45.0,45.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,208.248,45.0,45.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,21153.012,12456.0,12456.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,21153.012,12456.0,12456.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,97.037,127.0,127.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,97.037,127.0,127.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,1689.973,1000.0,1000.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,1689.973,1000.0,1000.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,18423.978,16898.0,16898.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,18423.978,16898.0,16898.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,4155997.242,5591573.0,5591573.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,135.198,152.0,152.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,354.349,295.0,295.0,kg
2023,251,France,276,Germany,110100,Wheat or meslin flour,X,Export,4155507.695,5591126.0,5591126.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,164477.037,238790.0,238790.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,164474.919,238789.0,238789.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,2.118,1.0,1.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,548.5,750.0,750.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,548.5,750.0,750.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,344.136,500.0,500.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,344.136,500.0,500.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,4.236,2.0,2.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,4.236,2.0,2.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,163580.165,237538.0,237538.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,163578.047,237537.0,237537.0,kg
2022,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,2.118,1.0,1.0,kg
2023,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,487809.115,536792.0,536792.0,kg
2023,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,6.542,6.0,6.0,kg
2023,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,487798.212,536781.0,536781.0,kg
2023,251,France,276,Germany,110220,Cereal flour; of maize (corn),X,Export,4.361,5.0,5.0,kg
