period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,1752.448,845.0,845.0,kg
2022,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,1752.448,845.0,845.0,kg
2022,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,277.427,99.0,99.0,kg
2022,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,277.427,99.0,99.0,kg
2022,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,1475.021,746.0,746.0,kg
2022,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,1475.021,746.0,746.0,kg
2023,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,636.738,477.0,477.0,kg
2023,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,636.738,477.0,477.0,kg
2023,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,636.738,477.0,477.0,kg
2023,251,France,642,Romania,110220,Cereal flour; of maize (corn),X,Export,636.738,477.0,477.0,kg
