period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5270379.8,4323353.0,4323353.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5260231.485,4320750.0,4320750.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10148.315,2603.0,2603.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5270379.8,4323353.0,4323353.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5260231.485,4320750.0,4320750.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10148.315,2603.0,2603.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5270379.8,4323353.0,4323353.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5260231.485,4320750.0,4320750.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10148.315,2603.0,2603.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5270379.8,4323353.0,4323353.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5260231.485,4320750.0,4320750.0,kg
2022,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10148.315,2603.0,2603.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4292366.082,3435282.0,3435282.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4281691.994,3432830.0,3432830.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10674.088,2452.0,2452.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4292366.082,3435282.0,3435282.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4281691.994,3432830.0,3432830.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10674.088,2452.0,2452.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4292366.082,3435282.0,3435282.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4281691.994,3432830.0,3432830.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10674.088,2452.0,2452.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4292366.082,3435282.0,3435282.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4281691.994,3432830.0,3432830.0,kg
2023,276,Germany,40,Austria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10674.088,2452.0,2452.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196278.426,6261546.0,6261546.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196256.19,6261541.0,6261541.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,22.236,5.0,5.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196278.426,6261546.0,6261546.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196256.19,6261541.0,6261541.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,22.236,5.0,5.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196278.426,6261546.0,6261546.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196256.19,6261541.0,6261541.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,22.236,5.0,5.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196278.426,6261546.0,6261546.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,13196256.19,6261541.0,6261541.0,kg
2022,276,Germany,40,Austria,1006,Rice,X,Export,22.236,5.0,5.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2023,276,Germany,40,Austria,1006,Rice,X,Export,15846358.18,6653094.0,6653094.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5456506.717,2094729.0,2094729.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5455391.715,2094590.0,2094590.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1115.002,139.0,139.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5456506.717,2094729.0,2094729.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5455391.715,2094590.0,2094590.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1115.002,139.0,139.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5456506.717,2094729.0,2094729.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5455391.715,2094590.0,2094590.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1115.002,139.0,139.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5456506.717,2094729.0,2094729.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,5455391.715,2094590.0,2094590.0,kg
2022,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1115.002,139.0,139.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,7217469.743,2403194.0,2403194.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,235877.73,78796.0,78796.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,6978881.514,2324070.0,2324070.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2710.499,328.0,328.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,7217469.743,2403194.0,2403194.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,235877.73,78796.0,78796.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,6978881.514,2324070.0,2324070.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2710.499,328.0,328.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,7217469.743,2403194.0,2403194.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,235877.73,78796.0,78796.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,6978881.514,2324070.0,2324070.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2710.499,328.0,328.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,7217469.743,2403194.0,2403194.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,235877.73,78796.0,78796.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,6978881.514,2324070.0,2324070.0,kg
2023,276,Germany,40,Austria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2710.499,328.0,328.0,kg
