period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9367604.218,14309923.0,14309923.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9366368.504,14309700.0,14309700.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1235.714,223.0,223.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9367604.218,14309923.0,14309923.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9366368.504,14309700.0,14309700.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1235.714,223.0,223.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9367604.218,14309923.0,14309923.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9366368.504,14309700.0,14309700.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1235.714,223.0,223.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9367604.218,14309923.0,14309923.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9366368.504,14309700.0,14309700.0,kg
2022,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1235.714,223.0,223.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8773435.657,12994878.0,12994878.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8772955.923,12994800.0,12994800.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,479.734,78.0,78.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8773435.657,12994878.0,12994878.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8772955.923,12994800.0,12994800.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,479.734,78.0,78.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8773435.657,12994878.0,12994878.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8772955.923,12994800.0,12994800.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,479.734,78.0,78.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8773435.657,12994878.0,12994878.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,8772955.923,12994800.0,12994800.0,kg
2023,276,Germany,56,Belgium,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,479.734,78.0,78.0,kg
