period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2022,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,65342.485,102871.0,102871.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2023,276,Germany,100,Bulgaria,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,107871.532,136361.0,136361.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2022,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,63423.792,22897.0,22897.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
2023,276,Germany,100,Bulgaria,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,40891.899,12750.0,12750.0,kg
