period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,581508.828,418965.0,418965.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,578159.588,418248.0,418248.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3349.24,717.0,717.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,581508.828,418965.0,418965.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,578159.588,418248.0,418248.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3349.24,717.0,717.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,581508.828,418965.0,418965.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,578159.588,418248.0,418248.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3349.24,717.0,717.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,581508.828,418965.0,418965.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,578159.588,418248.0,418248.0,kg
2022,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3349.24,717.0,717.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1219394.132,1492687.0,1492687.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1211507.954,1491550.0,1491550.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,7886.178,1137.0,1137.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1219394.132,1492687.0,1492687.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1211507.954,1491550.0,1491550.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,7886.178,1137.0,1137.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1219394.132,1492687.0,1492687.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1211507.954,1491550.0,1491550.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,7886.178,1137.0,1137.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1219394.132,1492687.0,1492687.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1211507.954,1491550.0,1491550.0,kg
2023,276,Germany,203,Czechia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,7886.178,1137.0,1137.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538958.27,1817229.0,1817229.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538756.024,1817179.0,1817179.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,202.246,50.0,50.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538958.27,1817229.0,1817229.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538756.024,1817179.0,1817179.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,202.246,50.0,50.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538958.27,1817229.0,1817229.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538756.024,1817179.0,1817179.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,202.246,50.0,50.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538958.27,1817229.0,1817229.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,2538756.024,1817179.0,1817179.0,kg
2022,276,Germany,203,Czechia,1006,Rice,X,Export,202.246,50.0,50.0,kg
