period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131868.555,1373220.0,1373220.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,13.765,40.0,40.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131800.787,1373170.0,1373170.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,54.003,10.0,10.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131868.555,1373220.0,1373220.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,13.765,40.0,40.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131800.787,1373170.0,1373170.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,54.003,10.0,10.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131868.555,1373220.0,1373220.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,13.765,40.0,40.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131800.787,1373170.0,1373170.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,54.003,10.0,10.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131868.555,1373220.0,1373220.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,13.765,40.0,40.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1131800.787,1373170.0,1373170.0,kg
2022,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,54.003,10.0,10.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1003038.317,1087340.0,1087340.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1002896.578,1087320.0,1087320.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,141.74,20.0,20.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1003038.317,1087340.0,1087340.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1002896.578,1087320.0,1087320.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,141.74,20.0,20.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1003038.317,1087340.0,1087340.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1002896.578,1087320.0,1087320.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,141.74,20.0,20.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1003038.317,1087340.0,1087340.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1002896.578,1087320.0,1087320.0,kg
2023,276,Germany,208,Denmark,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,141.74,20.0,20.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5211935.925,3408941.0,3408941.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,1801.156,2250.0,2250.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,117271.065,108808.0,108808.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5092863.703,3297883.0,3297883.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5211935.925,3408941.0,3408941.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,1801.156,2250.0,2250.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,117271.065,108808.0,108808.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5092863.703,3297883.0,3297883.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5211935.925,3408941.0,3408941.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,1801.156,2250.0,2250.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,117271.065,108808.0,108808.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5092863.703,3297883.0,3297883.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5211935.925,3408941.0,3408941.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,1801.156,2250.0,2250.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,117271.065,108808.0,108808.0,kg
2022,276,Germany,208,Denmark,1006,Rice,X,Export,5092863.703,3297883.0,3297883.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
2023,276,Germany,208,Denmark,1006,Rice,X,Export,5262951.463,2871412.0,2871412.0,kg
