period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38543.267,50350.0,50350.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38351.609,50175.0,50175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,191.657,175.0,175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38543.267,50350.0,50350.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38351.609,50175.0,50175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,191.657,175.0,175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38543.267,50350.0,50350.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38351.609,50175.0,50175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,191.657,175.0,175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38543.267,50350.0,50350.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,38351.609,50175.0,50175.0,kg
2022,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,191.657,175.0,175.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,31169.647,45260.0,45260.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,30677.919,44460.0,44460.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,491.728,800.0,800.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,31169.647,45260.0,45260.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,30677.919,44460.0,44460.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,491.728,800.0,800.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,31169.647,45260.0,45260.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,30677.919,44460.0,44460.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,491.728,800.0,800.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,31169.647,45260.0,45260.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,30677.919,44460.0,44460.0,kg
2023,276,Germany,352,Iceland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,491.728,800.0,800.0,kg
