period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2267164.708,2749538.0,2749538.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2265167.658,2749080.0,2749080.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1997.049,458.0,458.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2267164.708,2749538.0,2749538.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2265167.658,2749080.0,2749080.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1997.049,458.0,458.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2267164.708,2749538.0,2749538.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2265167.658,2749080.0,2749080.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1997.049,458.0,458.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2267164.708,2749538.0,2749538.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2265167.658,2749080.0,2749080.0,kg
2022,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1997.049,458.0,458.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2325773.762,2252659.0,2252659.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2319101.094,2251730.0,2251730.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6672.668,929.0,929.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2325773.762,2252659.0,2252659.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2319101.094,2251730.0,2251730.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6672.668,929.0,929.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2325773.762,2252659.0,2252659.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2319101.094,2251730.0,2251730.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6672.668,929.0,929.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2325773.762,2252659.0,2252659.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2319101.094,2251730.0,2251730.0,kg
2023,276,Germany,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6672.668,929.0,929.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1497793.767,773559.0,773559.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,3533.679,3575.0,3575.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1494260.088,769984.0,769984.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1497793.767,773559.0,773559.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,3533.679,3575.0,3575.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1494260.088,769984.0,769984.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1497793.767,773559.0,773559.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,3533.679,3575.0,3575.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1494260.088,769984.0,769984.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1497793.767,773559.0,773559.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,3533.679,3575.0,3575.0,kg
2023,276,Germany,380,Italy,1006,Rice,X,Export,1494260.088,769984.0,769984.0,kg
2022,276,Germany,380,Italy,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1485717.979,455304.0,455304.0,kg
2022,276,Germany,380,Italy,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1485717.979,455304.0,455304.0,kg
2022,276,Germany,380,Italy,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1485717.979,455304.0,455304.0,kg
2022,276,Germany,380,Italy,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1485717.979,455304.0,455304.0,kg
2022,276,Germany,380,Italy,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,1485717.979,455304.0,455304.0,kg
