period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2390679.994,2809752.0,2809752.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6013.385,9450.0,9450.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,102927.464,160591.0,160591.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2281542.193,2639660.0,2639660.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,196.952,51.0,51.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2390679.994,2809752.0,2809752.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6013.385,9450.0,9450.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,102927.464,160591.0,160591.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2281542.193,2639660.0,2639660.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,196.952,51.0,51.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2390679.994,2809752.0,2809752.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6013.385,9450.0,9450.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,102927.464,160591.0,160591.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2281542.193,2639660.0,2639660.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,196.952,51.0,51.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2390679.994,2809752.0,2809752.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,6013.385,9450.0,9450.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,102927.464,160591.0,160591.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2281542.193,2639660.0,2639660.0,kg
2022,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,196.952,51.0,51.0,kg
2023,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3195775.212,3116262.0,3116262.0,kg
2023,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,87355.257,134543.0,134543.0,kg
2023,276,Germany,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3108212.797,2981690.0,2981690.0,kg
