period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,533899.589,740381.0,740381.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,532831.09,740194.0,740194.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1068.499,187.0,187.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,533899.589,740381.0,740381.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,532831.09,740194.0,740194.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1068.499,187.0,187.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,533899.589,740381.0,740381.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,532831.09,740194.0,740194.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1068.499,187.0,187.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,533899.589,740381.0,740381.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,532831.09,740194.0,740194.0,kg
2023,276,Germany,442,Luxembourg,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1068.499,187.0,187.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
2022,276,Germany,442,Luxembourg,1006,Rice,X,Export,1257338.535,513299.0,513299.0,kg
