period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2022,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,483.909,299.0,299.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
2023,276,Germany,470,Malta,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1480.635,604.0,604.0,kg
