period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,217020693.926,484066324.175,484066324.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,28.59,56.175,56.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,33192.741,112000.0,112000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,216987373.061,483954000.0,483954000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,99.535,268.0,268.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,217020693.926,484066324.175,484066324.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,28.59,56.175,56.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,33192.741,112000.0,112000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,216987373.061,483954000.0,483954000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,99.535,268.0,268.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,217020693.926,484066324.175,484066324.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,28.59,56.175,56.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,33192.741,112000.0,112000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,216987373.061,483954000.0,483954000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,99.535,268.0,268.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,217020693.926,484066324.175,484066324.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,28.59,56.175,56.175,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,33192.741,112000.0,112000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,216987373.061,483954000.0,483954000.0,kg
2022,276,Germany,528,Netherlands,110100,Wheat or meslin flour,X,Export,99.535,268.0,268.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10153968.39,16717658.0,16717658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10126106.056,16707000.0,16707000.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27862.334,10658.0,10658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10153968.39,16717658.0,16717658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10126106.056,16707000.0,16707000.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27862.334,10658.0,10658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10153968.39,16717658.0,16717658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10126106.056,16707000.0,16707000.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27862.334,10658.0,10658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10153968.39,16717658.0,16717658.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10126106.056,16707000.0,16707000.0,kg
2022,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,27862.334,10658.0,10658.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10996259.526,17038780.0,17038780.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,71.96,51.0,51.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10970871.768,17029700.0,17029700.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,25315.798,9029.0,9029.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10996259.526,17038780.0,17038780.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,71.96,51.0,51.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10970871.768,17029700.0,17029700.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,25315.798,9029.0,9029.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10996259.526,17038780.0,17038780.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,71.96,51.0,51.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10970871.768,17029700.0,17029700.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,25315.798,9029.0,9029.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10996259.526,17038780.0,17038780.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,71.96,51.0,51.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,10970871.768,17029700.0,17029700.0,kg
2023,276,Germany,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,25315.798,9029.0,9029.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,86308073.222,257659687.0,257659687.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,450173.706,1065520.0,1065520.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,36761412.425,110527000.0,110527000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,49095471.624,146067000.0,146067000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,1015.467,167.0,167.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,86308073.222,257659687.0,257659687.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,450173.706,1065520.0,1065520.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,36761412.425,110527000.0,110527000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,49095471.624,146067000.0,146067000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,1015.467,167.0,167.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,86308073.222,257659687.0,257659687.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,450173.706,1065520.0,1065520.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,36761412.425,110527000.0,110527000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,49095471.624,146067000.0,146067000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,1015.467,167.0,167.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,86308073.222,257659687.0,257659687.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,450173.706,1065520.0,1065520.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,36761412.425,110527000.0,110527000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,49095471.624,146067000.0,146067000.0,kg
2022,276,Germany,528,Netherlands,100590,"Cereals; maize (corn), other than seed",X,Export,1015.467,167.0,167.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9153048.466,5106493.0,5106493.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,1200.771,1500.0,1500.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9151847.695,5104993.0,5104993.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9153048.466,5106493.0,5106493.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,1200.771,1500.0,1500.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9151847.695,5104993.0,5104993.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9153048.466,5106493.0,5106493.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,1200.771,1500.0,1500.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9151847.695,5104993.0,5104993.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9153048.466,5106493.0,5106493.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,1200.771,1500.0,1500.0,kg
2022,276,Germany,528,Netherlands,1006,Rice,X,Export,9151847.695,5104993.0,5104993.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2063787.561,789160.0,789160.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2061297.073,788986.0,788986.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2490.488,174.0,174.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2063787.561,789160.0,789160.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2061297.073,788986.0,788986.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2490.488,174.0,174.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2063787.561,789160.0,789160.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2061297.073,788986.0,788986.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2490.488,174.0,174.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2063787.561,789160.0,789160.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2061297.073,788986.0,788986.0,kg
2022,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2490.488,174.0,174.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896945.437,996918.0,996918.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,295.473,100.0,100.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896302.157,996794.0,996794.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,347.807,24.0,24.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896945.437,996918.0,996918.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,295.473,100.0,100.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896302.157,996794.0,996794.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,347.807,24.0,24.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896945.437,996918.0,996918.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,295.473,100.0,100.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896302.157,996794.0,996794.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,347.807,24.0,24.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896945.437,996918.0,996918.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,295.473,100.0,100.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,2896302.157,996794.0,996794.0,kg
2023,276,Germany,528,Netherlands,120740,"Oil seeds; sesamum seeds, whether or not broken",X,Export,347.807,24.0,24.0,kg
