period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260229.523,205882.0,205882.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260044.219,205850.0,205850.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,185.304,32.0,32.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260229.523,205882.0,205882.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260044.219,205850.0,205850.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,185.304,32.0,32.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260229.523,205882.0,205882.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260044.219,205850.0,205850.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,185.304,32.0,32.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260229.523,205882.0,205882.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,260044.219,205850.0,205850.0,kg
2022,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,185.304,32.0,32.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,198196.78,189110.0,189110.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,197997.255,189081.0,189081.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,199.526,29.0,29.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,198196.78,189110.0,189110.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,197997.255,189081.0,189081.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,199.526,29.0,29.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,198196.78,189110.0,189110.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,197997.255,189081.0,189081.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,199.526,29.0,29.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,198196.78,189110.0,189110.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,197997.255,189081.0,189081.0,kg
2023,276,Germany,372,Ireland,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,199.526,29.0,29.0,kg
