period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2022,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,390256.927,436623.0,436623.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2023,276,Germany,642,Romania,110100,Wheat or meslin flour,X,Export,667093.461,902132.0,902132.0,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,238083.028,167877.972,167877.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,237905.136,167833.0,167833.0,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,177.892,44.972,44.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,238083.028,167877.972,167877.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,237905.136,167833.0,167833.0,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,177.892,44.972,44.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,238083.028,167877.972,167877.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,237905.136,167833.0,167833.0,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,177.892,44.972,44.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,238083.028,167877.972,167877.972,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,237905.136,167833.0,167833.0,kg
2022,276,Germany,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,177.892,44.972,44.972,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144486.163,62146.046,62146.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144457.815,62135.046,62135.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,28.348,11.0,11.0,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144486.163,62146.046,62146.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144457.815,62135.046,62135.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,28.348,11.0,11.0,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144486.163,62146.046,62146.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144457.815,62135.046,62135.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,28.348,11.0,11.0,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144486.163,62146.046,62146.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,144457.815,62135.046,62135.046,kg
2023,276,Germany,642,Romania,1006,Rice,X,Export,28.348,11.0,11.0,kg
