period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2022,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,45393.167,60371.0,60371.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2023,276,Germany,703,Slovakia,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,50862.74,59704.0,59704.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2022,276,Germany,703,Slovakia,1006,Rice,X,Export,1826307.036,1967603.0,1967603.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
2023,276,Germany,703,Slovakia,1006,Rice,X,Export,2992306.806,3119635.0,3119635.0,kg
