period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855404.269,972219.0,972219.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1.059,1.0,1.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855236.966,972192.0,972192.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,166.244,26.0,26.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855404.269,972219.0,972219.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1.059,1.0,1.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855236.966,972192.0,972192.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,166.244,26.0,26.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855404.269,972219.0,972219.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1.059,1.0,1.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855236.966,972192.0,972192.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,166.244,26.0,26.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855404.269,972219.0,972219.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1.059,1.0,1.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,855236.966,972192.0,972192.0,kg
2022,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,166.244,26.0,26.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,785319.621,677324.0,677324.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5.452,6.0,6.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1314.908,4000.0,4000.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,783601.3,673228.0,673228.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,397.961,90.0,90.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,785319.621,677324.0,677324.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5.452,6.0,6.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1314.908,4000.0,4000.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,783601.3,673228.0,673228.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,397.961,90.0,90.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,785319.621,677324.0,677324.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5.452,6.0,6.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1314.908,4000.0,4000.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,783601.3,673228.0,673228.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,397.961,90.0,90.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,785319.621,677324.0,677324.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5.452,6.0,6.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1314.908,4000.0,4000.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,783601.3,673228.0,673228.0,kg
2023,276,Germany,752,Sweden,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,397.961,90.0,90.0,kg
