period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,199892.369,215393.0,215393.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,199892.369,215393.0,215393.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,199892.369,215393.0,215393.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,199892.369,215393.0,215393.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,348.372,141.0,141.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,348.372,141.0,141.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,348.372,141.0,141.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,348.372,141.0,141.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,376.962,183.0,183.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,376.962,183.0,183.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,376.962,183.0,183.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,376.962,183.0,183.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,153.538,125.0,125.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,153.538,125.0,125.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,153.538,125.0,125.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,153.538,125.0,125.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,203.305,165.0,165.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,203.305,165.0,165.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,203.305,165.0,165.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,203.305,165.0,165.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,198810.193,214779.0,214779.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,198810.193,214779.0,214779.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,198810.193,214779.0,214779.0,kg
2022,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,198810.193,214779.0,214779.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,361784.911,362920.0,362920.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,326585.293,302366.0,302366.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,35199.619,60554.0,60554.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,326585.293,302366.0,302366.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,326585.293,302366.0,302366.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,35199.619,60554.0,60554.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,35199.619,60554.0,60554.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,706.068,172.0,172.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,706.068,172.0,172.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,706.068,172.0,172.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,706.068,172.0,172.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,566.585,192.0,192.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,566.585,192.0,192.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,566.585,192.0,192.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,566.585,192.0,192.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,1629.472,907.0,907.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,1629.472,907.0,907.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,1629.472,907.0,907.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,1629.472,907.0,907.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,19868.311,24300.0,24300.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,19868.311,24300.0,24300.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,19868.311,24300.0,24300.0,kg
2023,620,Portugal,251,France,110220,Cereal flour; of maize (corn),X,Export,19868.311,24300.0,24300.0,kg
