period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2353619.352,3945838.0,3945838.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3681.837,955.0,955.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2349937.515,3944883.0,3944883.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,206.777,75.0,75.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,206.777,75.0,75.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2353412.576,3945763.0,3945763.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3475.06,880.0,880.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2349937.515,3944883.0,3944883.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2353412.576,3945763.0,3945763.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3475.06,880.0,880.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2349937.515,3944883.0,3944883.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2353412.576,3945763.0,3945763.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3475.06,880.0,880.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2349937.515,3944883.0,3944883.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,206.777,75.0,75.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,206.777,75.0,75.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,206.777,75.0,75.0,kg
2022,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,206.777,75.0,75.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2879795.99,3249616.551,3249616.551,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,126.054,70.0,70.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2877794.551,3249152.68,3249152.68,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1875.385,393.871,393.871,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64.422,50.0,50.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64.422,50.0,50.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2879731.568,3249566.551,3249566.551,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,61.632,20.0,20.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2877794.551,3249152.68,3249152.68,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1875.385,393.871,393.871,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2879731.568,3249566.551,3249566.551,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,61.632,20.0,20.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2877794.551,3249152.68,3249152.68,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1875.385,393.871,393.871,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2879731.568,3249566.551,3249566.551,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,61.632,20.0,20.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2877794.551,3249152.68,3249152.68,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1875.385,393.871,393.871,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64.422,50.0,50.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64.422,50.0,50.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64.422,50.0,50.0,kg
2023,724,Spain,251,France,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64.422,50.0,50.0,kg
