period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2022,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1579636.17,1503679.26,1503679.26,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
2023,724,Spain,380,Italy,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1955381.44,1764286.455,1764286.455,kg
