period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2022,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,13120666.656,33320500.0,33320500.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
2023,724,Spain,620,Portugal,100590,"Cereals; maize (corn), other than seed",X,Export,9166510.368,19370620.0,19370620.0,kg
