period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2022,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28558.626,7934.4,7934.4,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
2023,724,Spain,642,Romania,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,40747.932,10062.0,10062.0,kg
