period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,427845.76,291238.0,291238.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28173.242,5295.0,5295.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,121849.859,99580.0,99580.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2367.8,388.0,388.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,275454.858,185975.0,185975.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1039.071,1200.0,1200.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,1039.071,1200.0,1200.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,426806.689,290038.0,290038.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,28173.242,5295.0,5295.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,121849.859,99580.0,99580.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,2367.8,388.0,388.0,kg
2022,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,274415.788,184775.0,184775.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,491235.407,314237.0,314237.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,85017.64,75117.0,75117.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,406217.766,239120.0,239120.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,678.65,650.0,650.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,678.65,650.0,650.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,490556.757,313587.0,313587.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,85017.64,75117.0,75117.0,kg
2023,826,United Kingdom,528,Netherlands,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,405539.117,238470.0,238470.0,kg
