period,reporterCode,reporterDesc,partnerCode,partnerDesc,cmdCode,cmdDesc,flowCode,flowDesc,primaryValue,netWgt,qty,qtyUnitAbbr
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,187755.057,311141.0,311141.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,131823.953,241765.0,241765.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,55931.103,69376.0,69376.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4023.164,5768.0,5768.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,4023.164,5768.0,5768.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,183731.892,305373.0,305373.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,131823.953,241765.0,241765.0,kg
2022,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,51907.939,63608.0,63608.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,73432.123,79996.0,79996.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64215.663,71775.0,71775.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,9216.459,8221.0,8221.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3318.671,7467.0,7467.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,3318.671,7467.0,7467.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,70113.451,72529.0,72529.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,64215.663,71775.0,71775.0,kg
2023,826,United Kingdom,724,Spain,110290,"Cereal flours; other than wheat, meslin, and maize (corn)",X,Export,5897.788,754.0,754.0,kg
